Series Name;Series Code;Country Name;Country Code;Time;Time Code;Value
Population, total;SP.POP.TOTL;Ukraine;UKR;1991;YR1991;52170961
Population, total;SP.POP.TOTL;Ukraine;UKR;1992;YR1992;52323671
Population, total;SP.POP.TOTL;Ukraine;UKR;1993;YR1993;52350126
Population, total;SP.POP.TOTL;Ukraine;UKR;1994;YR1994;52075998
Population, total;SP.POP.TOTL;Ukraine;UKR;1995;YR1995;51665539
Population, total;SP.POP.TOTL;Ukraine;UKR;1996;YR1996;51226109
Population, total;SP.POP.TOTL;Ukraine;UKR;1997;YR1997;50786885
Population, total;SP.POP.TOTL;Ukraine;UKR;1998;YR1998;50379731
Population, total;SP.POP.TOTL;Ukraine;UKR;1999;YR1999;49976446
Population, total;SP.POP.TOTL;Ukraine;UKR;2000;YR2000;49556660
Population, total;SP.POP.TOTL;Ukraine;UKR;2001;YR2001;49106855
Population, total;SP.POP.TOTL;Ukraine;UKR;2002;YR2002;48677281
Population, total;SP.POP.TOTL;Ukraine;UKR;2003;YR2003;48315136
Population, total;SP.POP.TOTL;Ukraine;UKR;2004;YR2004;47979507
Population, total;SP.POP.TOTL;Ukraine;UKR;2005;YR2005;47585556
Population, total;SP.POP.TOTL;Ukraine;UKR;2006;YR2006;47278694
Population, total;SP.POP.TOTL;Ukraine;UKR;2007;YR2007;47062798
Population, total;SP.POP.TOTL;Ukraine;UKR;2008;YR2008;46819175
Population, total;SP.POP.TOTL;Ukraine;UKR;2009;YR2009;46623731
Population, total;SP.POP.TOTL;Ukraine;UKR;2010;YR2010;46456003
Population, total;SP.POP.TOTL;Ukraine;UKR;2011;YR2011;46307853
Population, total;SP.POP.TOTL;Ukraine;UKR;2012;YR2012;46210056
Population, total;SP.POP.TOTL;Ukraine;UKR;2013;YR2013;46126770
Population, total;SP.POP.TOTL;Ukraine;UKR;2014;YR2014;45972380
Population, total;SP.POP.TOTL;Ukraine;UKR;2015;YR2015;45784896
Population, total;SP.POP.TOTL;Ukraine;UKR;2016;YR2016;45616832
Population, total;SP.POP.TOTL;Ukraine;UKR;2017;YR2017;45436041
Population, total;SP.POP.TOTL;Ukraine;UKR;2018;YR2018;45208907
Population, total;SP.POP.TOTL;Ukraine;UKR;2019;YR2019;44957458
